#--------------------------------------------------------------------------------,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       13577648,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-10644       ,,,
Originators Station ID      ,,            438,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,           37.0,decimal degrees,,
Longitude                   ,,         -13.67,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              2,,,
Day                         ,,             10,,,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,         71062.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Institute                   ,,            89.,NODC code,BUNDESAMT FUR SEESCHIFFAHRT UND HYDROGRAPHIE (BSH); HAMBURG,
Bottom depth                ,,          2850.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     15.88,0, ,     36.27,0, ,
         2,       96.,0, ,     15.42,0, ,     36.16,0, ,
         3,      195.,0, ,     13.43,0, ,     35.94,0, ,
         4,      394.,0, ,     11.54,0, ,     35.62,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       13665174,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-10644       ,,,
Originators Station ID      ,,             56,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,           37.0,decimal degrees,,
Longitude                   ,,         -13.67,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              2,,,
Day                         ,,             10,,,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,         73673.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     15.88,0, ,     36.27,0, ,
         2,       25.,0, ,     15.80,0, ,     36.25,0, ,
         3,       50.,0, ,     15.70,0, ,     36.22,0, ,
         4,       75.,0, ,     15.57,0, ,     36.19,0, ,
         5,      100.,0, ,     15.38,0, ,     36.16,0, ,
         6,      150.,0, ,     14.30,0, ,     36.04,0, ,
         7,      200.,0, ,     13.40,0, ,     35.94,0, ,
         8,      300.,0, ,     12.30,0, ,     35.73,0, ,
         9,      400.,0, ,     11.50,0, ,     35.62,0, ,
        10,      500.,0, ,     11.02,0, ,     35.60,0, ,
        11,      600.,0, ,     10.95,0, ,     35.68,0, ,
        12,      700.,0, ,     11.00,0, ,     35.88,0, ,
        13,      800.,0, ,     11.11,0, ,     36.05,0, ,
        14,      900.,0, ,     11.17,0, ,     36.14,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27641,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-4           ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,4              ,,,
Latitude                    ,,         -40.98,decimal degrees,,
Longitude                   ,,          -57.0,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              6,,,
Day                         ,,              6,,,
Time                        ,,            13.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,       7600776.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Bottom depth                ,,           342.,meters,,
Sea State                   ,,             2.,WMO code 3700,SMOOTH-WAVELET 1/3-1 2/3 FT (.1-.5 METERS),
Wind Force                  ,,             3.,Beaufort Scale,GENTLE BREEZE  MEAN VELOCITY IN KNOTS 7-10  METERS/SEC 3.4-5.4  KM/H 12-19  M.P,
Wind Direction              ,,            24.,WMO code 0877,235 DEGREES - 244 DEGREES,
Air temperature (dry bulb)  ,,            6.5,degrees Celsius,,
Cloud type                  ,,             8.,WMO code 500,CUMULUS (CU),
Cloud cover                 ,,             1.,WMO code 2700,1 OKTA OR LESS, BUT NOT ZERO    (1/10 OR LESS, BUT NOT ZERO),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             1.,WOD code,NODC archive (1992),
Original units        ,Oxygen,            88.,NODC code,ml/l (milliliter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,pH         ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,,
         1,        0.,0, ,      6.22,0, ,     34.03,0, ,      289.,0, ,      7.95,0, ,
         2,       45.,0, ,      6.14,0, ,     34.04,0, ,   ---*---,0, ,   ---*---,0, ,
         3,       95.,0, ,      5.89,0, ,     34.05,0, ,      296.,0, ,      7.98,0, ,
         4,      145.,0, ,      5.45,0, ,     34.05,0, ,      287.,0, ,   ---*---,0, ,
         5,      195.,0, ,      4.95,0, ,     34.06,0, ,      289.,0, ,      8.01,0, ,
         6,      245.,0, ,      4.66,0, ,     34.15,0, ,      294.,0, ,      7.89,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27645,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-4           ,,,
Originators Station ID      ,,              2,,,integer,
Originators Cruise ID       ,,4              ,,,
Latitude                    ,,         -41.15,decimal degrees,,
Longitude                   ,,         -56.60,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              6,,,
Day                         ,,              6,,,
Time                        ,,            18.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,       7600776.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Bottom depth                ,,          1390.,meters,,
Sea State                   ,,             1.,WMO code 3700,CALM-RIPPLED 0-1/3 FT (0-.1METERS),
Wind Force                  ,,             3.,Beaufort Scale,GENTLE BREEZE  MEAN VELOCITY IN KNOTS 7-10  METERS/SEC 3.4-5.4  KM/H 12-19  M.P,
Wind Direction              ,,            25.,WMO code 0877,245 DEGREES - 254 DEGREES,
Air temperature (dry bulb)  ,,            7.0,degrees Celsius,,
Cloud type                  ,,             6.,WMO code 500,STRATOCUMULUS (SC),
Cloud cover                 ,,             7.,WMO code 2700,7 OKTAS OR MORE, BUT NOT 8 OKTAS    (9/10 OR MORE, BUT NOT 10/10),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             1.,WOD code,NODC archive (1992),
Original units        ,Oxygen,            88.,NODC code,ml/l (milliliter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,pH         ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,,
         1,        0.,0, ,      7.04,0, ,     34.11,0, ,      297.,0, ,      8.02,0, ,
         2,       45.,0, ,      6.81,0, ,     34.10,0, ,      295.,0, ,      8.01,0, ,
         3,       94.,0, ,      4.87,0, ,     34.09,0, ,   ---*---,0, ,   ---*---,0, ,
         4,      145.,0, ,      3.86,0, ,     34.13,0, ,   ---*---,0, ,   ---*---,0, ,
         5,      195.,0, ,      3.44,0, ,     34.14,0, ,      288.,0, ,      7.90,0, ,
         6,      295.,0, ,      3.09,0, ,     34.17,0, ,   ---*---,0, ,   ---*---,0, ,
         7,      395.,0, ,      2.90,0, ,     34.19,0, ,      262.,0, ,      7.81,0, ,
         8,      495.,0, ,      2.87,0, ,     34.23,0, ,   ---*---,0, ,   ---*---,0, ,
         9,      595.,2, ,      2.85,0, ,     34.24,0, ,      295.,0, ,      7.94,0, ,
        10,      600.,2, ,      2.90,0, ,     34.24,0, ,      294.,0, ,   ---*---,0, ,
        11,      695.,0, ,      2.81,0, ,     34.25,0, ,      287.,0, ,      7.92,0, ,
        12,      795.,0, ,      2.75,0, ,     34.29,0, ,      308.,1, ,      7.84,0, ,
        13,     1000.,0, ,      2.67,0, ,     34.38,0, ,      227.,0, ,      7.66,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27660,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-4           ,,,
Originators Station ID      ,,              3,,,integer,
Originators Cruise ID       ,,4              ,,,
Latitude                    ,,         -41.18,decimal degrees,,
Longitude                   ,,         -55.22,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              6,,,
Day                         ,,              7,,,
Time                        ,,             4.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,       7600776.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Bottom depth                ,,          4403.,meters,,
Wind Force                  ,,             4.,Beaufort Scale,MODERATE BREEZE  MEAN VELOCITY IN KNOTS 11-16  METERS/SEC 5.5-7.9  KM/H 20-28,
Wind Direction              ,,            27.,WMO code 0877,265 DEGREES - 274 DEGREES,
Air temperature (dry bulb)  ,,            6.4,degrees Celsius,,
Cloud type                  ,,             6.,WMO code 500,STRATOCUMULUS (SC),
Cloud cover                 ,,             5.,WMO code 2700,5 OKTAS     6/10,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             1.,WOD code,NODC archive (1992),
Original units        ,Oxygen,            88.,NODC code,ml/l (milliliter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,pH         ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,4, ,          ,7, ,          ,3, ,,
         1,        0.,0, ,      7.64,0, ,     34.15,0, ,      295.,0, ,      8.08,0, ,
         2,       50.,0, ,      6.86,0, ,     34.12,0, ,      288.,0, ,      8.05,0, ,
         3,      100.,0, ,      5.25,0, ,     34.18,0, ,      276.,0, ,      8.03,0, ,
         4,      145.,0, ,      3.66,0, ,     34.20,0, ,   ---*---,0, ,   ---*---,0, ,
         5,      195.,0, ,      3.23,0, ,     34.19,0, ,      285.,0, ,      7.90,0, ,
         6,      245.,0, ,      2.95,0, ,     34.17,0, ,   ---*---,0, ,   ---*---,0, ,
         7,      295.,0, ,      2.73,0, ,     34.18,0, ,   ---*---,0, ,   ---*---,0, ,
         8,      390.,0, ,      2.51,0, ,     34.19,0, ,      244.,0, ,      7.83,0, ,
         9,      490.,0, ,      2.54,0, ,     34.27,0, ,   ---*---,0, ,   ---*---,0, ,
        10,      590.,0, ,      2.61,0, ,     34.38,0, ,      260.,0, ,      7.92,0, ,
        11,      686.,0, ,      2.60,0, ,     34.40,0, ,   ---*---,0, ,   ---*---,0, ,
        12,      690.,0, ,      2.60,0, ,     34.40,0, ,      193.,0, ,   ---*---,0, ,
        13,      788.,0, ,      2.56,0, ,     34.52,0, ,   ---*---,0, ,   ---*---,0, ,
        14,      890.,0, ,      2.47,0, ,     34.55,0, ,   ---*---,0, ,   ---*---,0, ,
        15,     1090.,0, ,      2.33,0, ,     34.62,0, ,   ---*---,0, ,   ---*---,0, ,
        16,     1190.,0, ,      2.30,0, ,     34.65,0, ,      163.,0, ,      7.96,0, ,
        17,     1391.,0, ,      2.26,0, ,     34.69,0, ,   ---*---,0, ,   ---*---,0, ,
        18,     1590.,0, ,      2.23,0, ,     34.74,0, ,      178.,0, ,      7.63,0, ,
        19,     1790.,0, ,      2.39,0, ,     34.80,0, ,   ---*---,0, ,   ---*---,0, ,
        20,     1930.,0, ,      2.45,0, ,     34.83,0, ,      205.,0, ,      7.79,0, ,
        21,     2180.,0, ,      2.33,0, ,     34.83,0, ,      199.,0, ,   ---*---,0, ,
        22,     2420.,0, ,      2.14,0, ,     34.81,0, ,   ---*---,0, ,   ---*---,0, ,
        23,     2907.,0, ,      1.36,0, ,     34.75,0, ,   ---*---,0, ,   ---*---,0, ,
        24,     3390.,0, ,      0.78,0, ,     34.72,0, ,      183.,0, ,      7.74,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27678,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-4           ,,,
Originators Station ID      ,,              4,,,integer,
Originators Cruise ID       ,,4              ,,,
Latitude                    ,,         -41.45,decimal degrees,,
Longitude                   ,,         -52.78,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              6,,,
Day                         ,,              8,,,
Time                        ,,             4.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,       7600776.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Bottom depth                ,,          5609.,meters,,
Wind Force                  ,,             5.,Beaufort Scale,FRESH BREEZE  MEAN VELOCITY IN KNOTS 17-21  METERS/SEC 8.0-10.7  KM/H 29-38  M.,
Wind Direction              ,,            29.,WMO code 0877,285 DEGREES - 294 DEGREES,
Air temperature (dry bulb)  ,,            9.6,degrees Celsius,,
Cloud type                  ,,             8.,WMO code 500,CUMULUS (CU),
Cloud cover                 ,,             3.,WMO code 2700,3 OKTAS     4/10,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             1.,WOD code,NODC archive (1992),
Original units        ,Oxygen,            88.,NODC code,ml/l (milliliter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,pH         ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,,
         1,        0.,0, ,     11.20,0, ,     34.68,0, ,      258.,0, ,      8.10,0, ,
         2,       45.,0, ,     11.42,0, ,     34.61,0, ,      251.,0, ,      8.11,0, ,
         3,       93.,0, ,     11.44,0, ,     35.03,0, ,   ---*---,0, ,   ---*---,0, ,
         4,      140.,0, ,      9.61,0, ,     34.76,0, ,   ---*---,0, ,   ---*---,0, ,
         5,      185.,0, ,      7.50,0, ,     34.49,0, ,      229.,0, ,      7.94,0, ,
         6,      235.,0, ,      5.88,0, ,     34.34,0, ,   ---*---,0, ,   ---*---,0, ,
         7,      282.,0, ,      5.02,0, ,     34.28,0, ,   ---*---,0, ,   ---*---,0, ,
         8,      395.,0, ,      4.24,0, ,     34.23,0, ,   ---*---,0, ,   ---*---,0, ,
         9,      495.,0, ,      3.90,0, ,     34.21,0, ,      268.,0, ,      7.92,0, ,
        10,      590.,0, ,      3.58,0, ,     34.19,0, ,      247.,0, ,      7.90,0, ,
        11,      695.,0, ,      3.20,0, ,     34.18,0, ,      271.,0, ,      7.83,0, ,
        12,      696.,0, ,      3.11,0, ,     34.19,0, ,   ---*---,0, ,   ---*---,0, ,
        13,      798.,0, ,      2.98,0, ,     34.19,0, ,   ---*---,0, ,   ---*---,0, ,
        14,      890.,0, ,      2.84,0, ,     34.22,0, ,      204.,0, ,   ---*---,0, ,
        15,      985.,0, ,      2.81,0, ,     34.31,0, ,   ---*---,0, ,      7.92,0, ,
        16,     1085.,0, ,      2.85,0, ,     34.44,0, ,   ---*---,0, ,   ---*---,0, ,
        17,     1180.,0, ,      2.73,0, ,     34.47,0, ,   ---*---,0, ,   ---*---,0, ,
        18,     1378.,0, ,      2.66,0, ,     34.56,0, ,   ---*---,0, ,   ---*---,0, ,
        19,     1570.,0, ,      2.64,0, ,     34.66,0, ,      177.,0, ,      7.64,0, ,
        20,     1760.,0, ,      2.68,0, ,     34.74,0, ,   ---*---,0, ,      7.68,0, ,
        21,     1950.,0, ,      2.78,0, ,     34.79,0, ,   ---*---,0, ,   ---*---,0, ,
        22,     1980.,0, ,      2.79,0, ,     34.80,0, ,      198.,0, ,      7.84,0, ,
        23,     2228.,0, ,      2.85,0, ,     34.82,0, ,   ---*---,0, ,   ---*---,0, ,
        24,     2470.,0, ,      2.73,0, ,     34.84,0, ,      219.,0, ,      7.84,0, ,
        25,     2959.,0, ,      2.23,0, ,     34.81,0, ,   ---*---,0, ,   ---*---,0, ,
        26,     3450.,0, ,      1.39,0, ,     34.74,0, ,      195.,0, ,      7.82,0, ,
        27,     3945.,0, ,      0.74,0, ,     34.70,0, ,   ---*---,0, ,   ---*---,0, ,
        28,     4441.,0, ,      0.27,0, ,     34.66,0, ,   ---*---,0, ,   ---*---,0, ,
        29,     4940.,0, ,      0.17,0, ,     34.67,0, ,      242.,0, ,      7.76,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27687,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-4           ,,,
Originators Station ID      ,,              5,,,integer,
Originators Cruise ID       ,,4              ,,,
Latitude                    ,,         -41.68,decimal degrees,,
Longitude                   ,,         -49.47,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              6,,,
Day                         ,,              9,,,
Time                        ,,            11.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,       7600776.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Bottom depth                ,,          5696.,meters,,
Sea State                   ,,             2.,WMO code 3700,SMOOTH-WAVELET 1/3-1 2/3 FT (.1-.5 METERS),
Wind Force                  ,,             4.,Beaufort Scale,MODERATE BREEZE  MEAN VELOCITY IN KNOTS 11-16  METERS/SEC 5.5-7.9  KM/H 20-28,
Wind Direction              ,,            32.,WMO code 0877,315 DEGREES - 324 DEGREES,
Air temperature (dry bulb)  ,,           13.7,degrees Celsius,,
Cloud type                  ,,             8.,WMO code 500,CUMULUS (CU),
Cloud cover                 ,,             2.,WMO code 2700,2 OKTAS     2/10-3/10,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             1.,WOD code,NODC archive (1992),
Original units        ,Oxygen,            88.,NODC code,ml/l (milliliter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,pH         ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,7, ,          ,0, ,          ,3, ,,
         1,        0.,0, ,     15.21,0, ,     35.16,0, ,      243.,0, ,      8.11,0, ,
         2,       45.,0, ,     13.13,0, ,     34.67,0, ,      240.,0, ,      8.06,0, ,
         3,       95.,0, ,     13.23,0, ,     34.84,0, ,      244.,0, ,      8.08,0, ,
         4,      145.,0, ,     11.12,0, ,     34.65,0, ,   ---*---,0, ,   ---*---,0, ,
         5,      195.,0, ,      9.90,0, ,     34.62,0, ,      225.,0, ,   ---*---,0, ,
         6,      245.,0, ,      8.60,0, ,     34.54,0, ,   ---*---,0, ,   ---*---,0, ,
         7,      295.,0, ,      7.42,0, ,     34.43,0, ,   ---*---,0, ,      7.92,0, ,
         8,      395.,0, ,      6.01,0, ,     34.30,0, ,      234.,0, ,      7.88,0, ,
         9,      495.,0, ,      4.45,0, ,     34.15,0, ,   ---*---,0, ,   ---*---,0, ,
        10,      595.,0, ,      4.11,0, ,     34.14,0, ,      267.,0, ,   ---*---,0, ,
        11,      670.,0, ,      3.94,0, ,     34.15,0, ,      261.,0, ,      7.81,0, ,
        12,      700.,0, ,      3.76,0, ,     34.17,0, ,      248.,0, ,   ---*---,0, ,
        13,      865.,0, ,      3.48,0, ,     34.19,0, ,   ---*---,0, ,   ---*---,0, ,
        14,     1060.,0, ,      2.84,0, ,     34.24,0, ,   ---*---,0, ,   ---*---,0, ,
        15,     1345.,0, ,      2.75,0, ,     34.42,0, ,      257.,0, ,      7.83,0, ,
        16,     1740.,0, ,      2.71,0, ,     34.65,0, ,   ---*---,0, ,   ---*---,0, ,
        17,     1944.,0, ,      2.81,0, ,     34.70,0, ,   ---*---,0, ,   ---*---,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27802,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-9964        ,,,
Originators Station ID      ,,              6,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         -41.40,decimal degrees,,
Longitude                   ,,          -45.0,decimal degrees,,
Year                        ,,           1925,,,
Month                       ,,              6,,,
Day                         ,,             20,,,
Time                        ,,            17.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,       7600776.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Bottom depth                ,,          5161.,meters,,
Sea State                   ,,             5.,WMO code 3700,ROUGH 8-13 FT(2.50-4.0 METERS),
Wind Force                  ,,             8.,Beaufort Scale,GALE  MEAN VELOCITY IN KNOTS 34-40  METERS/SEC 17.2-20.7 KM/H 62-74 M.P.H. 39-4,
Wind Direction              ,,            29.,WMO code 0877,285 DEGREES - 294 DEGREES,
Air temperature (dry bulb)  ,,            8.5,degrees Celsius,,
Cloud type                  ,,             8.,WMO code 500,CUMULUS (CU),
Cloud cover                 ,,             4.,WMO code 2700,4 OKTAS     5/10,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             1.,WOD code,NODC archive (1992),
Original units        ,Oxygen,            88.,NODC code,ml/l (milliliter per liter),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,pH         ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,3, ,          ,0, ,          ,3, ,,
         1,        0.,0, ,     10.75,0, ,     34.50,0, ,   ---*---,0, ,   ---*---,0, ,
         2,       95.,0, ,     11.15,0, ,     34.84,0, ,   ---*---,0, ,      7.95,0, ,
         3,      195.,0, ,      6.16,0, ,     34.28,0, ,   ---*---,0, ,      7.95,0, ,
         4,      295.,0, ,      4.46,0, ,     34.16,0, ,      247.,0, ,      7.95,0, ,
         5,      395.,0, ,      3.92,0, ,     34.15,0, ,   ---*---,0, ,      7.88,0, ,
         6,      490.,0, ,      3.83,0, ,     34.17,0, ,      268.,0, ,      7.88,0, ,
         7,      495.,0, ,      3.61,0, ,     34.17,0, ,      256.,0, ,      8.08,0, ,
         8,      685.,0, ,      3.17,0, ,     34.21,0, ,      265.,0, ,      7.88,0, ,
         9,      785.,0, ,      2.85,0, ,     34.20,0, ,   ---*---,0, ,   ---*---,0, ,
        10,      983.,0, ,      2.72,0, ,     34.20,0, ,   ---*---,0, ,   ---*---,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,          27856,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-9964        ,,,
Originators Station ID      ,,              7,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         -41.50,decimal degrees,,
Longitude                   ,,          -40.0,decimal degrees,,
