Longitude                   ,,          21.87,decimal degrees,,
Year                        ,,           1926,,,
Month                       ,,              3,,,
Day                         ,,              6,,,
Time                        ,,             9.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           241.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Institute                   ,,           216.,NODC code,COUNSEIL INTERNATIONAL POUR L'EXPLORATION DE LA MER (ICES),
probe_type                  ,,            14.,OCL_code,bucket,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Latitude   ,F,O,Longitude  ,F,O,JulianDay  ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,degrees   ,, , ,degrees   ,, , ,julian day,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     13.80,0, ,    35.660,0, ,    -41.78,0, ,     21.87,0, ,      64.4,0, ,
         2,        0.,0, ,     21.20,0, ,    35.620,0, ,    -37.77,0, ,     21.18,0, ,      66.4,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       10016519,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-9911        ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,06ME           ,,,
Latitude                    ,,         -31.38,decimal degrees,,
Longitude                   ,,          16.93,decimal degrees,,
Year                        ,,           1926,,,
Month                       ,,              4,,,
Day                         ,,             22,,,
Time                        ,,            22.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           241.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Institute                   ,,           216.,NODC code,COUNSEIL INTERNATIONAL POUR L'EXPLORATION DE LA MER (ICES),
probe_type                  ,,            14.,OCL_code,bucket,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Latitude   ,F,O,Longitude  ,F,O,JulianDay  ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,degrees   ,, , ,degrees   ,, , ,julian day,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     15.27,0, ,    35.220,0, ,    -31.38,0, ,     16.93,0, ,    111.92,0, ,
         2,        0.,0, ,     13.10,0, ,    34.860,0, ,    -29.98,0, ,     16.25,0, ,     112.3,0, ,
         3,        0.,0, ,     13.09,0, ,    34.820,0, ,    -29.17,0, ,     15.90,0, ,    112.58,0, ,
         4,        0.,0, ,     12.93,0, ,    34.800,0, ,    -28.25,0, ,     15.50,0, ,    112.88,0, ,
         5,        0.,0, ,     12.25,0, ,    34.970,0, ,    -26.87,0, ,     14.82,0, ,     113.3,0, ,
         6,        0.,0, ,     13.30,0, ,    35.070,0, ,    -26.02,0, ,     13.92,0, ,     115.3,0, ,
         7,        0.,0, ,     16.69,0, ,    35.200,0, ,    -25.60,0, ,     13.07,0, ,    115.62,0, ,
         8,        0.,0, ,     15.62,0, ,    35.090,0, ,    -24.78,0, ,     13.28,0, ,    115.92,0, ,
         9,        0.,0, ,     14.29,0, ,    35.190,0, ,    -23.48,0, ,      14.0,0, ,     116.3,0, ,
        10,        0.,0, ,     14.75,0, ,    35.170,0, ,    -22.98,0, ,     14.38,0, ,    116.54,0, ,
        11,        0.,0, ,     15.46,0, ,    35.260,0, ,    -22.22,0, ,     14.07,0, ,    119.88,0, ,
        12,        0.,0, ,     16.12,0, ,    35.320,0, ,    -21.15,0, ,     13.07,0, ,     120.3,0, ,
        13,        0.,0, ,     17.54,0, ,    35.430,0, ,    -20.42,0, ,     12.38,0, ,    120.62,0, ,
        14,        0.,0, ,     17.97,0, ,    35.480,0, ,    -19.73,0, ,     11.72,0, ,    120.92,0, ,
        15,        0.,0, ,     18.88,0, ,    35.530,0, ,    -18.75,0, ,     10.65,0, ,     121.3,0, ,
        16,        0.,0, ,     19.59,0, ,    35.570,0, ,    -18.37,0, ,     10.82,0, ,    121.62,0, ,
        17,        0.,0, ,     20.96,0, ,    35.690,0, ,    -17.50,0, ,     11.12,0, ,    121.92,0, ,
        18,        0.,0, ,     22.80,0, ,    35.870,0, ,    -16.42,0, ,     11.50,0, ,     122.3,0, ,
        19,        0.,0, ,     21.00,0, ,    35.950,0, ,    -16.32,0, ,     10.78,0, ,     123.3,0, ,
        20,        0.,0, ,     22.71,0, ,    35.760,0, ,    -16.22,0, ,      9.97,0, ,    123.62,0, ,
        21,        0.,0, ,     23.89,0, ,    35.800,0, ,    -15.92,0, ,      8.87,0, ,     124.3,0, ,
        22,        0.,0, ,     24.44,0, ,    36.270,0, ,    -15.38,0, ,      6.98,0, ,    124.92,0, ,
        23,        0.,0, ,     23.60,0, ,    35.910,0, ,    -15.32,0, ,      6.10,0, ,    125.62,0, ,
        24,        0.,0, ,     23.72,0, ,    36.220,0, ,    -15.28,0, ,      5.20,0, ,    125.92,0, ,
        25,        0.,0, ,     23.50,0, ,    36.580,0, ,    -15.20,0, ,      3.93,0, ,     126.3,0, ,
        26,        0.,0, ,     22.70,0, ,    36.420,0, ,    -15.07,0, ,      1.75,0, ,     127.3,0, ,
        27,        0.,0, ,     22.83,0, ,    36.410,0, ,    -15.28,0, ,      1.07,0, ,    127.62,0, ,
        28,        0.,0, ,     22.70,0, ,    36.370,0, ,    -15.02,0, ,    -0.100,0, ,     128.3,0, ,
        29,        0.,0, ,     22.55,0, ,    36.480,0, ,    -14.98,0, ,    -0.500,0, ,    130.88,0, ,
        30,        0.,0, ,     23.00,0, ,    36.530,0, ,    -15.07,0, ,     -1.97,0, ,     131.3,0, ,
        31,        0.,0, ,     23.05,0, ,    36.520,0, ,    -15.05,0, ,     -2.82,0, ,    131.62,0, ,
        32,        0.,0, ,     22.90,0, ,    36.500,0, ,    -15.02,0, ,     -3.48,0, ,    131.92,0, ,
        33,        0.,0, ,     23.02,0, ,    36.520,0, ,    -15.08,0, ,     -3.67,0, ,     132.3,0, ,
        34,        0.,0, ,     23.58,0, ,    36.510,0, ,    -15.47,0, ,     -4.33,0, ,    132.58,0, ,
        35,        0.,0, ,     23.02,0, ,    36.500,0, ,    -15.75,0, ,     -4.88,0, ,    132.88,0, ,
        36,        0.,0, ,     22.82,0, ,    36.500,0, ,    -15.65,0, ,     -6.07,0, ,    136.92,0, ,
        37,        0.,0, ,     23.43,0, ,    36.600,0, ,    -14.93,0, ,     -7.02,0, ,     137.3,0, ,
        38,        0.,0, ,     23.72,0, ,    36.570,0, ,    -14.92,0, ,     -7.13,0, ,    137.67,0, ,
        39,        0.,0, ,     23.72,0, ,    36.630,0, ,    -14.95,0, ,     -7.82,0, ,    137.92,0, ,
        40,        0.,0, ,     23.90,0, ,    36.560,0, ,    -15.02,0, ,     -9.10,0, ,     138.3,0, ,
        41,        0.,0, ,     24.12,0, ,    36.640,0, ,    -15.05,0, ,     -9.87,0, ,    138.58,0, ,
        42,        0.,0, ,     23.98,0, ,    36.630,0, ,    -15.05,0, ,    -11.25,0, ,     139.3,0, ,
        43,        0.,0, ,     24.30,0, ,    36.720,0, ,    -14.97,0, ,    -14.38,0, ,    140.58,0, ,
        44,        0.,0, ,     24.32,0, ,    36.840,0, ,    -15.07,0, ,    -16.15,0, ,     141.3,0, ,
        45,        0.,0, ,     24.67,5, ,    36.880,0, ,    -14.97,0, ,    -17.27,0, ,    141.58,0, ,
        46,        0.,0, ,     24.32,5, ,    36.860,0, ,    -14.97,0, ,    -17.42,0, ,    141.88,0, ,
        47,        0.,0, ,     23.70,0, ,    36.940,0, ,    -15.02,0, ,    -18.68,0, ,     142.3,0, ,
        48,        0.,0, ,     25.12,0, ,    36.940,0, ,    -15.08,0, ,    -19.65,0, ,    142.58,0, ,
        49,        0.,0, ,     25.23,0, ,    36.970,0, ,    -15.12,0, ,    -20.50,0, ,    142.92,0, ,
        50,        0.,0, ,     25.80,0, ,    36.810,4, ,    -15.13,0, ,    -21.63,0, ,    143.58,0, ,
        51,        0.,0, ,     25.52,0, ,    36.970,0, ,    -15.20,0, ,    -22.68,0, ,    143.92,0, ,
        52,        0.,0, ,     25.88,0, ,    37.010,0, ,    -15.30,0, ,    -23.97,0, ,     144.3,0, ,
        53,        0.,0, ,     26.21,0, ,    36.910,0, ,    -15.42,0, ,    -23.97,0, ,    144.67,0, ,
        54,        0.,0, ,     25.80,0, ,    37.100,0, ,    -15.65,0, ,    -25.93,0, ,     145.2,0, ,
        55,        0.,0, ,     26.08,0, ,    37.200,0, ,    -15.72,0, ,    -28.02,0, ,     146.2,0, ,
        56,        0.,0, ,     26.31,0, ,    37.250,0, ,    -15.85,0, ,    -29.23,0, ,    146.62,0, ,
        57,        0.,0, ,     26.30,0, ,    37.160,0, ,    -15.90,0, ,    -29.95,0, ,    146.92,0, ,
        58,        0.,0, ,     26.73,0, ,    37.340,0, ,    -16.03,0, ,    -31.32,0, ,    147.62,0, ,
        59,        0.,0, ,     26.49,0, ,    37.330,0, ,    -16.18,0, ,    -32.35,0, ,    147.92,0, ,
        60,        0.,0, ,     26.72,0, ,    37.350,0, ,    -16.37,0, ,    -33.32,0, ,    148.62,0, ,
        61,        0.,0, ,     26.25,0, ,    37.360,0, ,    -16.63,0, ,    -33.78,0, ,    148.92,0, ,
        62,        0.,0, ,     26.20,0, ,    37.270,0, ,    -16.97,0, ,    -34.82,0, ,     149.3,0, ,
        63,        0.,0, ,     26.70,0, ,    37.230,0, ,    -17.22,0, ,    -35.57,0, ,    149.62,0, ,
        64,        0.,0, ,     26.38,0, ,    37.170,0, ,    -17.02,0, ,    -36.33,0, ,     150.3,0, ,
        65,        0.,0, ,     26.48,0, ,    37.200,0, ,    -17.22,0, ,    -36.78,0, ,    150.62,0, ,
        66,        0.,0, ,     26.21,0, ,    37.240,0, ,    -17.05,0, ,    -37.52,0, ,    150.88,0, ,
        67,        0.,0, ,     25.82,0, ,    36.870,0, ,    -17.47,0, ,    -37.92,0, ,     151.3,0, ,
        68,        0.,0, ,     26.60,0, ,    37.270,0, ,    -17.88,0, ,    -37.32,0, ,    151.62,0, ,
        69,        0.,0, ,     25.75,0, ,    37.060,0, ,    -17.98,0, ,    -37.03,0, ,    151.88,0, ,
        70,        0.,0, ,     25.71,0, ,    36.960,0, ,    -18.58,0, ,    -36.07,0, ,     152.3,0, ,
        71,        0.,0, ,     26.32,0, ,    37.040,0, ,    -19.37,0, ,    -36.22,0, ,    152.62,0, ,
        72,        0.,0, ,     26.22,0, ,    37.170,0, ,    -20.30,0, ,    -36.72,0, ,    152.92,0, ,
        73,        0.,0, ,     25.60,0, ,    36.940,0, ,    -20.73,0, ,    -36.12,0, ,     153.3,0, ,
        74,        0.,0, ,     26.09,0, ,    36.970,0, ,    -20.47,0, ,    -36.15,0, ,    153.62,0, ,
        75,        0.,0, ,     25.63,0, ,    36.860,0, ,    -20.52,0, ,    -35.42,0, ,    153.88,0, ,
        76,        0.,0, ,     25.50,0, ,    36.920,0, ,    -20.47,0, ,    -35.85,0, ,     154.3,0, ,
        77,        0.,0, ,     24.97,0, ,    36.980,0, ,    -22.03,0, ,    -36.33,0, ,    154.88,0, ,
        78,        0.,0, ,     23.58,0, ,    36.330,0, ,    -23.23,0, ,    -36.67,0, ,     155.3,0, ,
        79,        0.,0, ,     23.52,0, ,    36.430,0, ,    -24.07,0, ,    -36.87,0, ,    155.58,0, ,
        80,        0.,0, ,     23.58,0, ,    36.510,0, ,    -24.62,0, ,    -37.38,0, ,    155.88,0, ,
        81,        0.,0, ,     23.42,0, ,    36.440,0, ,    -24.98,0, ,    -38.88,0, ,     156.3,0, ,
        82,        0.,0, ,     23.40,0, ,    36.460,0, ,    -25.23,0, ,    -40.07,0, ,    156.62,0, ,
        83,        0.,0, ,     23.70,0, ,    36.830,0, ,    -25.47,0, ,    -41.05,0, ,    156.92,0, ,
        84,        0.,0, ,     21.90,0, ,    36.240,0, ,    -25.77,0, ,    -42.32,0, ,     157.3,0, ,
        85,        0.,0, ,     22.20,0, ,    36.350,0, ,    -25.97,0, ,    -43.28,0, ,    157.62,0, ,
        86,        0.,0, ,     23.43,0, ,    36.740,0, ,    -26.10,0, ,    -43.97,0, ,    157.92,0, ,
        87,        0.,0, ,     23.60,0, ,    36.800,0, ,    -26.37,0, ,    -45.22,0, ,     158.3,0, ,
        88,        0.,0, ,     21.50,0, ,    35.950,0, ,    -26.53,0, ,    -46.25,0, ,    158.62,0, ,
        89,        0.,0, ,     20.49,0, ,    35.890,0, ,    -26.77,0, ,    -47.20,0, ,    158.92,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       10016544,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-9912        ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,06ME           ,,,
Latitude                    ,,         -23.40,decimal degrees,,
Longitude                   ,,         -41.52,decimal degrees,,
Year                        ,,           1926,,,
Month                       ,,              7,,,
Day                         ,,              2,,,
Time                        ,,             7.,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           241.,NODC code,,
Platform                    ,,           330.,OCL code,METEOR (PRE-7/64),
Institute                   ,,           216.,NODC code,COUNSEIL INTERNATIONAL POUR L'EXPLORATION DE LA MER (ICES),
probe_type                  ,,            14.,OCL_code,bucket,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Latitude   ,F,O,Longitude  ,F,O,JulianDay  ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,degrees   ,, , ,degrees   ,, , ,julian day,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     21.90,0, ,    35.910,0, ,    -23.40,0, ,    -41.52,0, ,     182.3,0, ,
         2,        0.,0, ,     24.23,0, ,    36.720,0, ,    -23.67,0, ,    -40.50,0, ,    182.88,0, ,
         3,        0.,0, ,     24.01,0, ,    36.860,0, ,    -23.85,0, ,    -38.87,0, ,    183.92,0, ,
         4,        0.,0, ,     22.71,0, ,    36.230,4, ,    -23.82,0, ,    -37.27,0, ,    184.92,0, ,
         5,        0.,0, ,     24.00,0, ,    36.800,0, ,    -23.73,0, ,    -36.08,0, ,     185.3,0, ,
         6,        0.,0, ,     24.03,0, ,    36.870,0, ,    -23.73,0, ,    -35.03,0, ,    185.62,0, ,
         7,        0.,0, ,     23.50,0, ,    36.780,0, ,    -23.65,0, ,    -34.12,0, ,     186.3,0, ,
         8,        0.,0, ,     23.41,0, ,    36.820,0, ,    -23.57,0, ,    -33.28,0, ,    186.62,0, ,
         9,        0.,0, ,     22.04,0, ,    36.300,0, ,    -23.55,0, ,    -32.58,0, ,    186.92,0, ,
        10,        0.,0, ,     22.49,0, ,    36.480,0, ,    -23.38,0, ,    -31.13,0, ,    187.92,0, ,
        11,        0.,0, ,     23.39,0, ,    36.990,0, ,    -22.97,0, ,    -29.32,0, ,    188.62,0, ,
        12,        0.,0, ,     23.01,0, ,    36.850,0, ,    -22.78,0, ,    -28.57,0, ,    188.92,0, ,
        13,        0.,0, ,     22.79,0, ,    36.850,0, ,    -22.63,0, ,    -27.83,0, ,    189.62,0, ,
        14,        0.,0, ,     22.21,0, ,    36.580,0, ,    -22.58,0, ,    -27.03,0, ,    189.92,0, ,
        15,        0.,0, ,     22.29,0, ,    36.540,0, ,    -22.37,0, ,    -25.95,0, ,     190.3,0, ,
        16,        0.,0, ,     22.53,0, ,    36.580,0, ,    -22.20,0, ,    -25.02,0, ,    190.62,0, ,
        17,        0.,0, ,     23.03,0, ,    36.870,0, ,    -22.07,0, ,    -24.07,0, ,    190.92,0, ,
        18,        0.,0, ,     22.91,0, ,    36.840,0, ,    -21.95,0, ,    -23.25,0, ,    191.62,0, ,
        19,        0.,0, ,     22.73,0, ,    36.800,0, ,    -21.82,0, ,    -22.40,0, ,    191.92,0, ,
        20,        0.,0, ,     22.89,0, ,    36.830,0, ,    -21.72,0, ,    -21.42,0, ,     192.3,0, ,
        21,        0.,0, ,     22.90,0, ,    36.820,0, ,    -21.65,0, ,    -20.80,0, ,    192.62,0, ,
        22,        0.,0, ,     22.66,0, ,    36.760,0, ,    -21.60,0, ,    -19.88,0, ,     193.3,0, ,
        23,        0.,0, ,     22.80,0, ,    36.820,0, ,    -21.58,0, ,    -19.12,0, ,    193.62,0, ,
        24,        0.,0, ,     22.41,0, ,    36.720,0, ,    -21.55,0, ,    -18.38,0, ,    193.88,0, ,
        25,        0.,0, ,     21.96,0, ,    36.680,0, ,    -21.50,0, ,    -16.82,0, ,    194.92,0, ,
        26,        0.,0, ,     22.00,0, ,    36.580,0, ,    -21.47,0, ,    -15.52,0, ,     195.3,0, ,
        27,        0.,0, ,     22.02,0, ,    36.610,0, ,    -21.50,0, ,    -15.63,0, ,    195.79,0, ,
        28,        0.,0, ,     21.97,0, ,    36.610,0, ,    -21.48,0, ,    -15.42,0, ,    195.92,0, ,
        29,        0.,0, ,     21.71,0, ,    36.680,0, ,    -21.45,0, ,    -14.35,0, ,     196.3,0, ,
        30,        0.,0, ,     21.51,0, ,    36.610,0, ,    -21.45,0, ,    -13.63,0, ,    196.92,0, ,
        31,        0.,0, ,     21.49,0, ,    36.610,0, ,    -21.47,0, ,    -12.47,0, ,     197.3,0, ,
        32,        0.,0, ,     21.42,0, ,    36.550,0, ,    -21.47,0, ,    -11.32,0, ,     199.3,0, ,
        33,        0.,0, ,     21.14,0, ,    36.540,0, ,    -21.48,0, ,    -10.53,0, ,    199.62,0, ,
        34,        0.,0, ,     20.81,0, ,    36.400,0, ,    -21.52,0, ,     -9.68,0, ,    199.92,0, ,
        35,        0.,0, ,     20.80,0, ,    36.540,0, ,    -21.57,0, ,     -8.57,0, ,    200.62,0, ,
        36,        0.,0, ,     20.41,0, ,    36.450,0, ,    -21.63,0, ,     -7.73,0, ,    200.92,0, ,
        37,        0.,0, ,     20.20,0, ,    36.350,0, ,    -21.70,0, ,     -6.67,0, ,     201.3,0, ,
        38,        0.,0, ,     20.30,0, ,    36.300,0, ,    -21.62,0, ,     -5.98,0, ,    201.62,0, ,
        39,        0.,0, ,     19.76,0, ,    36.200,0, ,    -21.53,0, ,     -5.23,0, ,    201.88,0, ,
        40,        0.,0, ,     19.58,0, ,    36.150,0, ,    -21.47,0, ,     -4.52,0, ,    202.62,0, ,
        41,        0.,0, ,     19.35,0, ,    36.110,0, ,    -21.50,0, ,     -3.90,0, ,    202.88,0, ,
        42,        0.,0, ,     18.89,0, ,    36.000,0, ,    -21.58,0, ,     -2.85,0, ,     203.3,0, ,
        43,        0.,0, ,     19.05,0, ,    35.940,0, ,    -21.55,0, ,     -2.22,0, ,    203.62,0, ,
        44,        0.,0, ,     18.81,0, ,    35.940,0, ,    -21.50,0, ,     -1.58,0, ,    203.92,0, ,
        45,        0.,0, ,     18.82,0, ,    35.990,0, ,    -21.47,0, ,    -0.700,0, ,     204.3,0, ,
        46,        0.,0, ,     18.90,0, ,    35.930,0, ,    -21.52,0, ,      1.02,0, ,     205.3,0, ,
        47,        0.,0, ,     18.61,0, ,    35.860,0, ,    -21.53,0, ,      1.88,0, ,    205.62,0, ,
        48,        0.,0, ,     18.07,0, ,    35.710,0, ,    -21.58,0, ,      2.70,0, ,    205.88,0, ,
        49,        0.,0, ,     17.90,0, ,    35.680,0, ,    -21.67,0, ,      3.95,0, ,     206.3,0, ,
        50,        0.,0, ,     17.51,0, ,    35.570,0, ,    -21.88,0, ,      5.63,0, ,     207.3,0, ,
        51,        0.,0, ,     17.60,0, ,    35.540,0, ,    -21.98,0, ,      6.42,0, ,    207.62,0, ,
        52,        0.,0, ,     17.29,0, ,    35.640,0, ,    -21.98,0, ,      6.78,0, ,    207.92,0, ,
        53,        0.,0, ,     16.79,0, ,    35.440,0, ,    -22.27,0, ,      8.78,0, ,    208.62,0, ,
        54,        0.,0, ,     16.10,0, ,    35.410,0, ,    -22.43,0, ,      9.75,0, ,    208.92,0, ,
        55,        0.,0, ,     15.32,0, ,    35.270,0, ,    -22.58,0, ,     11.17,0, ,     209.3,0, ,
        56,        0.,0, ,     16.61,0, ,    35.300,0, ,    -22.72,0, ,     12.32,0, ,    209.62,0, ,
        57,        0.,0, ,     14.11,0, ,    35.120,0, ,    -22.72,0, ,     12.22,0, ,    209.88,0, ,
        58,        0.,0, ,     12.81,0, ,    34.990,0, ,    -23.78,0, ,     14.40,0, ,    210.62,0, ,
        59,        0.,0, ,     12.33,0, ,    35.010,0, ,    -23.67,0, ,     14.47,0, ,    210.92,0, ,
        60,        0.,0, ,     13.95,0, ,    35.120,0, ,     -22.0,0, ,     13.02,0, ,     223.3,0, ,
        61,        0.,0, ,     14.36,0, ,    35.210,0, ,    -21.95,0, ,     11.78,0, ,    223.88,0, ,
        62,        0.,0, ,     16.01,0, ,    35.420,0, ,     -22.0,0, ,     11.12,0, ,     224.3,0, ,
        63,        0.,0, ,     15.42,0, ,    35.280,0, ,    -22.17,0, ,     11.53,0, ,    224.62,0, ,
        64,        0.,0, ,     14.03,0, ,    35.130,0, ,    -22.35,0, ,     12.32,0, ,    224.88,0, ,
        65,        0.,0, ,     13.04,0, ,    35.040,0, ,    -22.67,0, ,     13.57,0, ,     225.3,0, ,
        66,        0.,0, ,     12.80,0, ,    35.040,0, ,    -22.88,0, ,     14.38,0, ,    225.62,0, ,
        67,        0.,0, ,     15.58,0, ,    35.150,0, ,    -22.22,0, ,     14.02,0, ,    226.62,0, ,
        68,        0.,0, ,     13.33,0, ,    35.120,0, ,    -21.48,0, ,     13.52,0, ,    226.92,0, ,
        69,        0.,0, ,     14.21,0, ,    35.200,0, ,    -20.60,0, ,     12.93,0, ,     227.3,0, ,
        70,        0.,0, ,     14.12,0, ,    35.190,0, ,    -19.73,0, ,     12.35,0, ,    227.62,0, ,
        71,        0.,0, ,     14.72,0, ,    35.270,0, ,    -19.02,0, ,     11.82,0, ,    227.88,0, ,
        72,        0.,0, ,     14.91,0, ,    35.300,0, ,    -17.97,0, ,     11.35,0, ,     228.3,0, ,
        73,        0.,0, ,     16.41,0, ,    34.550,0, ,    -17.22,0, ,     11.72,0, ,    228.58,0, ,
        74,        0.,0, ,     18.08,0, ,    35.720,0, ,    -16.73,0, ,     11.32,0, ,    228.88,0, ,
        75,        0.,0, ,     18.93,0, ,    35.790,0, ,    -15.98,0, ,     11.52,0, ,     229.3,0, ,
        76,        0.,0, ,     18.91,0, ,    35.670,0, ,    -15.17,0, ,     12.10,0, ,    229.62,0, ,
        77,        0.,0, ,     18.83,0, ,    35.650,0, ,    -15.18,0, ,     12.13,0, ,    229.67,0, ,
        78,        0.,0, ,     20.32,0, ,    35.910,0, ,    -15.02,0, ,     12.02,0, ,    229.88,0, ,
        79,        0.,0, ,     17.70,0, ,    35.610,0, ,    -13.85,0, ,     12.47,0, ,     230.3,0, ,
        80,        0.,0, ,     18.78,0, ,    35.580,0, ,    -13.87,0, ,     12.52,0, ,    230.67,0, ,
        81,        0.,0, ,     20.77,0, ,    35.790,0, ,    -13.12,0, ,     12.52,0, ,    230.92,0, ,
